VTX, IDX, position.x, position.y, position.z, normal.x, normal.y, normal.z, tangent.x, tangent.y, tangent.z, tangent.w, tex_coords0.x, tex_coords0.y, tex_coords1.x, tex_coords1.y, colour0.x, colour0.y, colour0.z, colour0.w, joints.x, joints.y, joints.z, joints.w, weights.x, weights.y, weights.z, weights.w, model_matrix_0.x, model_matrix_0.y, model_matrix_0.z, model_matrix_0.w, model_matrix_1.x, model_matrix_1.y, model_matrix_1.z, model_matrix_1.w, model_matrix_2.x, model_matrix_2.y, model_matrix_2.z, model_matrix_2.w, model_matrix_3.x, model_matrix_3.y, model_matrix_3.z, model_matrix_3.w, normal_matrix_0.x, normal_matrix_0.y, normal_matrix_0.z, normal_matrix_1.x, normal_matrix_1.y, normal_matrix_1.z, normal_matrix_2.x, normal_matrix_2.y, normal_matrix_2.z
0, 0, -0.00276, -0.00755, 0.0115, -0.02229, 0.98296, -0.18248, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 21, 22, 20, 0, 0.79391, 0.19535, 0.01074, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
1, 1, -0.00278, -0.00766, 0.01091, -0.02229, 0.98296, -0.18248, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 22, 21, 0, 0, 0.52262, 0.47738, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
2, 2, -0.00363, -0.00768, 0.01091, -0.02229, 0.98296, -0.18248, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 22, 21, 0, 0, 0.52094, 0.47906, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
3, 3, -0.00365, -0.00757, 0.0115, -0.02229, 0.98296, -0.18248, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 21, 22, 0, 0, 0.79916, 0.20084, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
4, 0, -0.00276, -0.00755, 0.0115, -0.02229, 0.98296, -0.18248, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 21, 22, 20, 0, 0.79391, 0.19535, 0.01074, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
5, 2, -0.00363, -0.00768, 0.01091, -0.02229, 0.98296, -0.18248, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 22, 21, 0, 0, 0.52094, 0.47906, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
6, 4, -0.00376, -0.01043, 0.0109, -0.92159, -0.38813, -0.00416, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 22, 21, 0, 0, 0.79583, 0.20417, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
7, 5, -0.00406, -0.00974, 0.01147, -0.92159, -0.38813, -0.00416, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 21, 22, 0, 0, 0.71378, 0.28622, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
8, 6, -0.00405, -0.00975, 0.01088, -0.92159, -0.38813, -0.00416, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 22, 21, 0, 0, 0.82598, 0.17402, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
9, 5, -0.00406, -0.00974, 0.01147, -0.92159, -0.38813, -0.00416, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 21, 22, 0, 0, 0.71378, 0.28622, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
10, 4, -0.00376, -0.01043, 0.0109, -0.92159, -0.38813, -0.00416, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 22, 21, 0, 0, 0.79583, 0.20417, 0.00, 0.00, -499.99997, 0.00, 0.00, 0.00, 0.00, -0.00008, -499.99997, 0.00, 0.00, -499.99997, 0.00008, 0.00, -20.51304, 20.17751, -10.54817, 1.00, -1.00, 0.00, 0.00, 0.00, -1.19209E-07, -1.00, 0.00, -1.00, 1.78814E-07
